file,subject,domain,true_idx,pred_frozen,pred_unfrozen,pred_deepface
AF01\AF01AFHL.JPG,F01,Original,0,0,0,0
AF01\AF01AFHR.JPG,F01,Original,0,0,0,3
AF01\AF01AFS.JPG,F01,Original,0,0,0,1
AF01\AF01ANHL.JPG,F01,Original,1,1,1,1
AF01\AF01ANHR.JPG,F01,Original,1,1,1,1
AF01\AF01ANS.JPG,F01,Original,1,1,1,1
AF01\AF01DIHL.JPG,F01,Original,2,4,2,1
AF01\AF01DIHR.JPG,F01,Original,2,2,2,1
AF01\AF01DIS.JPG,F01,Original,2,2,2,2
AF01\AF01HAHL.JPG,F01,Original,3,3,3,3
AF01\AF01HAHR.JPG,F01,Original,3,3,3,3
AF01\AF01HAS.JPG,F01,Original,3,3,3,3
AF01\AF01NEHL.JPG,F01,Original,4,4,4,5
AF01\AF01NEHR.JPG,F01,Original,4,4,4,1
AF01\AF01NES.JPG,F01,Original,4,4,4,4
AF01\AF01SAHL.JPG,F01,Original,5,5,5,1
AF01\AF01SAHR.JPG,F01,Original,5,3,5,1
AF01\AF01SAS.JPG,F01,Original,5,6,5,5
AF01\AF01SUHL.JPG,F01,Original,6,6,6,0
AF01\AF01SUHR.JPG,F01,Original,6,6,6,1
AF01\AF01SUS.JPG,F01,Original,6,6,6,6
AF05\AF05AFHL.JPG,F05,Original,0,6,0,5
AF05\AF05AFHR.JPG,F05,Original,0,4,0,6
AF05\AF05AFS.JPG,F05,Original,0,0,1,6
AF05\AF05ANHL.JPG,F05,Original,1,4,4,1
AF05\AF05ANHR.JPG,F05,Original,1,4,4,1
AF05\AF05ANS.JPG,F05,Original,1,4,1,1
AF05\AF05DIHL.JPG,F05,Original,2,2,2,1
AF05\AF05DIHR.JPG,F05,Original,2,1,2,1
AF05\AF05DIS.JPG,F05,Original,2,2,2,1
AF05\AF05HAHL.JPG,F05,Original,3,3,3,3
AF05\AF05HAHR.JPG,F05,Original,3,4,3,3
AF05\AF05HAS.JPG,F05,Original,3,3,3,3
AF05\AF05NEHL.JPG,F05,Original,4,4,4,5
AF05\AF05NEHR.JPG,F05,Original,4,4,4,0
AF05\AF05NES.JPG,F05,Original,4,4,4,4
AF05\AF05SAHL.JPG,F05,Original,5,5,5,1
AF05\AF05SAHR.JPG,F05,Original,5,5,5,0
AF05\AF05SAS.JPG,F05,Original,5,2,5,5
AF05\AF05SUHL.JPG,F05,Original,6,6,6,0
AF05\AF05SUHR.JPG,F05,Original,6,4,6,6
AF05\AF05SUS.JPG,F05,Original,6,5,6,6
AF10\AF10AFHL.JPG,F10,Original,0,0,6,0
AF10\AF10AFHR.JPG,F10,Original,0,5,0,6
AF10\AF10AFS.JPG,F10,Original,0,0,0,5
AF10\AF10ANHL.JPG,F10,Original,1,5,0,5
AF10\AF10ANHR.JPG,F10,Original,1,0,0,0
AF10\AF10ANS.JPG,F10,Original,1,2,1,4
AF10\AF10DIHL.JPG,F10,Original,2,2,2,1
